331,,6,19,43.659,,38,26,6.77,,,0.0027,,-0.028,,2000,,6.3287941667,38.4352138889
197,,6,30,26.817,,-3,1,19.54,,,-0.0001,,-0.001,,2000,,6.5074491667,-2.9779055556
127,,6,30,38.522,,-22,19,18.52,,,-0.0003,,0.002,,2000,,6.5107005556,-21.6781888889
407,,6,35,26.918,,80,34,23.61,,,-0.0004,,0.002,,2000,,6.5908105556,80.573225
301,,6,36,26.26,,27,16,42.21,,,0.0005,,-0.098,,2000,,6.6072944444,27.2783916667
32,,6,36,27.222,,-57,32,21.26,,,0.0059,,0.06,,2000,,6.6075616667,-56.4607611111
54,,6,37,38.208,,-49,31,40.28,,,-0.0038,,0.019,,2000,,6.62728,-48.4721444444
397,,6,40,59.598,,64,59,12.84,,,-0.0017,,0.001,,2000,,6.6832216667,64.9869
233,,6,42,17.141,,7,23,52.17,,,0.0004,,-0.009,,2000,,6.7047613889,7.397825
370,,6,45,14.439,,53,5,9.84,,,-0.0017,,-0.021,,2000,,6.7540108333,53.0860666667
95,,6,46,13.627,,-34,14,34.2,,,-0.0003,,0.017,,2000,,6.7704519444,-33.7571666667
144,,6,52,45.991,,-16,12,44.06,,,-0.0005,,0.002,,2000,,6.8794419444,-15.7877611111
346,,6,54,46.694,,42,56,52.31,,,-0.0007,,0.001,,2000,,6.9129705556,42.9478638889
269,,6,59,50.489,,15,56,28,,,-0.0002,,-0.005,,2000,,6.9973580556,15.9411111111
67,,7,4,41.367,,-40,29,2.41,,,0.0003,,0.016,,2000,,7.0781575,-39.5159972222
180,,7,5,21.846,,-8,7,59.44,,,0,,-0.002,,2000,,7.0894016667,-7.8668222222
112,,7,19,9.909,,-25,33,57.19,,,-0.0002,,0.005,,2000,,7.3194191667,-24.4341138889
318,,7,19,55.796,,33,36,51.77,,,-0.0011,,-0.017,,2000,,7.3321655556,33.6143805556
216,,7,19,59.57,,2,27,37.58,,,-0.0008,,-0.01,,2000,,7.3332138889,2.4604388889
286,,7,28,24.731,,21,32,57.81,,,-0.0089,,-0.026,,2000,,7.4735363889,21.5493916667
43,,7,34,28.067,,-54,3,54.85,,,-0.0009,,0.021,,2000,,7.5744630556,-53.9347638889
252,,7,39,4.378,,11,52,15.78,,,-0.001,,-0.007,,2000,,7.6512161111,11.87105
163,,7,39,27.231,,-11,33,50.33,,,-0.0003,,-0.002,,2000,,7.6575641667,-10.4360194444
