Perfect stars, latitude +34.0 deg
:NODA
:ALLSKY
+34 00 00.0
14  26  15.954023  +64  00  21.64138  14  3  58.15  +63  0  29.65  0  0
01  40  37.958575  +64  41  25.83728  1  21  48.14  +63  40  36.4  0  0
00  05  49.172403  +66  06  45.74484  -0  12  29.433  +65  4  10.43  0  0
11  16  25.761754  +66  51  12.81442  10  54  57.27  +65  47  51.47  0  0
22  25  32.967792  +67  37  00.32899  22  1  51.857  +66  32  48.41  0  0
09  33  01.706839  +68  24  16.46384  9  12  2.238  +67  19  5.75  0  0
20  38  41.283259  +69  13  10.84507  20  15  24.276  +68  7  8.75  0  0
07  42  18.961315  +70  03  54.93482  7  21  52.002  +68  56  50.62  0  0
18  43  39.379694  +70  56  42.55828  18  20  50.448  +69  48  45.39  0  0
05  42  23.732058  +71  51  50.64115  5  22  33.456  +70  42  47.37  0  0
16  38  08.588857  +72  49  40.27003  16  15  52.816  +71  39  41.84  0  0
03  30  24.148957  +73  50  38.26594  3  11  15.754  +72  39  29.01  0  0
14  18  31.545520  +74  55  19.60903  13  56  55.842  +73  43  11.67  0  0
01  01  38.500425  +76  04  31.34962  0  43  18.779  +74  51  6.43  0  0
11  38  31.906544  +77  19  19.28411  11  17  46.57  +76  4  50.18  0  0
22  07  24.219054  +78  41  20.20285  21  45  25.483  +77  25  39.91  0  0
08  25  25.994845  +80  13  06.60464  8  5  49.065  +78  55  58.0  0  0
18  27  42.654675  +81  59  03.61079  18  7  23.575  +80  40  30.9  0  0
04  04  17.038314  +84  08  08.66552  3  46  34.985  +82  47  45.78  0  0
END
